handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
fox-of-the-glen,Product,Fox of the Glen,"Fox of the Glen is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_c1b31966d692441bbf63a8592e7069d3~mv2.jpg,,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fox-of-the-glen,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fox-of-the-glen,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dreams-of-castlewellan-lake,Product,Dreams of Castlewellan Lake,"Dreams of Castlewellan Lake is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_c1ab4ed7b64243caad5c8c3ebcd06a47~mv2.jpg,Dreamscapes Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dreams-of-castlewellan-lake,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dreams-of-castlewellan-lake,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-watchful-dreamer,Product,The Watchful Dreamer,"The Watchful Dreamer is a beautiful piece of Clare Smith's collection, with available by email or at St George's Market. High-quality prints available in A4 and A3.",86cb05_e36e57a3726c45b6985b3b8237af0df1~mv2.jpg,Dreamscapes Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-watchful-dreamer,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-watchful-dreamer,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
badger-of-co-down,Product,Badger of Co Down,"Badger of Co Down is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_a5778e04d4994b3b90e7e86cc1e86fea~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
badger-of-co-down,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
badger-of-co-down,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falls-of-glenariff,Product,Falls of Glenariff,"Falls of Glenariff is a beautiful piece of Clare Smith's collection, with available by email or at St George's Market. High-quality prints available in A4 and A3.",86cb05_161d2c6e264f49d8888a090a8db98109~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falls-of-glenariff,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
